,Accrued,height,weight,DOB,Years,original_team_id,draft_year,draft_round,draft_pick,overall,overall_rk,pass,run,receiving,passblock,runblock,passrush,rundefense,coverage,discipline,pass_snaps,receiving_snaps,passblock_snaps,run_snaps,runblock_snaps,rundefense_snaps,passrush_snaps,coverage_snaps,total_snaps,games,Position_34DE,Position_34DT,Position_34OLB,Position_34OlB,Position_43DE,Position_43DT,Position_43OLB,Position_C,Position_CB,Position_DB,Position_DE,Position_DT,Position_FB,Position_G,Position_ILB,Position_K,Position_LB,Position_LG,Position_LS,Position_LT,Position_OG,Position_OLB,Position_OT,Position_P,Position_QB,Position_RB,Position_RG,Position_RT,Position_S,Position_S�,Position_T,Position_TE,Position_WR,Role_Defense,Role_Offense,Role_Special,college_Alabama,college_Auburn,college_California,college_Clemson,college_Florida,college_Florida State,college_Georgia,college_LSU,college_Miami,college_Michigan,college_Michigan State,college_Mississippi,college_Notre Dame,college_Ohio State,college_Oklahoma,college_Oregon,college_Penn State,college_Stanford,college_Tennessee,college_Texas,college_Texas A&M,college_UCLA,college_USC,college_Utah,college_Wisconsin,height_nan,DOB_nan,Years_nan,overall_nan,overall_rk_nan,pass_nan,run_nan,receiving_nan,passblock_nan,runblock_nan,passrush_nan,rundefense_nan,coverage_nan,discipline_nan,pass_snaps_nan,receiving_snaps_nan,passblock_snaps_nan,run_snaps_nan,runblock_snaps_nan,rundefense_snaps_nan,passrush_snaps_nan,coverage_snaps_nan,total_snaps_nan,games_nan,APY_millions
53,2012,73.0,233.0,26.958904109589042,5.0,28,2012,2,58,83.8,15.0,60.0,60.0,60.0,60.0,60.0,65.4,77.3,81.0,68.8,0.0,0.0,0.0,0.0,0.0,396.0,55.0,494.0,945.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.05
55,2011,77.0,253.0,28.47945205479452,3.0,28,2011,4,104,51.0,48.0,60.0,60.0,52.4,45.6,72.2,60.0,60.0,60.0,79.5,0.0,160.0,21.0,0.0,150.0,0.0,0.0,0.0,331.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6
69,2010,72.0,220.0,29.24931506849315,3.0,15,2010,1,12,69.6,41.70265780730897,60.0,69.1,59.8,68.5,60.0,60.0,60.0,60.0,71.5,0.0,68.0,8.0,79.0,10.0,0.0,0.0,0.0,165.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.666667
76,2011,74.0,299.0,27.493150684931507,5.0,14,2011,2,55,84.0,4.0,60.0,60.0,60.0,87.8,73.3,60.0,60.0,60.0,89.0,0.0,1.0,610.0,0.0,420.0,0.0,0.0,0.0,1031.0,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.9
77,2009,74.0,218.0,30.306849315068494,3.0,14,2009,7,256,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.4
78,2008,77.0,316.0,32.18082191780822,5.0,14,2008,1,15,77.7,31.0,60.0,60.0,60.0,81.3,69.1,60.0,60.0,60.0,30.2,0.0,0.0,558.0,0.0,326.0,0.0,0.0,0.0,884.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.4
81,2012,69.0,178.0,27.15068493150685,5.0,10,2012,3,92,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,13.0
83,2005,75.0,210.0,34.68219178082192,5.0,14,2005,3,99,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3.75
86,2011,72.0,191.0,28.953424657534246,7.0,18,2011,0,0,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3.214286
87,2011,70.0,207.0,29.315068493150687,5.0,18,2011,6,176,67.4,41.70265780730897,60.0,57.8,67.7,60.0,70.1,60.0,60.0,60.0,68.3,0.0,50.0,1.0,4.0,126.0,0.0,0.0,0.0,181.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.5
91,2010,78.0,307.0,30.473972602739725,5.0,27,2009,0,0,79.3,28.0,60.0,60.0,60.0,78.8,77.5,60.0,60.0,60.0,78.4,0.0,0.0,254.0,0.0,253.0,0.0,0.0,0.0,507.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.4
95,2008,70.0,195.0,29.912328767123288,5.0,18,2008,5,143,84.6,8.0,60.0,60.0,60.0,60.0,60.0,71.1,44.3,84.8,25.0,0.0,0.0,0.0,0.0,0.0,400.0,37.0,590.0,1027.0,16.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.8
97,2012,76.0,284.0,27.12876712328767,5.0,18,2012,3,81,84.1,20.0,60.0,60.0,60.0,60.0,60.0,81.5,75.2,57.0,84.7,0.0,0.0,0.0,0.0,0.0,288.0,445.0,8.0,741.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
98,2013,78.0,250.0,26.334246575342465,5.0,7,2013,1,21,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.6076
104,2012,76.0,222.0,28.45205479452055,4.0,3,2012,1,8,84.3,14.0,84.1,61.6,60.0,60.0,60.0,60.0,60.0,60.0,83.5,677.0,0.0,0.0,42.0,362.0,0.0,0.0,0.0,1081.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.25
107,2010,74.0,265.0,28.767123287671232,4.0,19,2010,1,13,85.1,13.0,60.0,60.0,60.0,60.0,60.0,83.0,78.5,65.4,45.7,0.0,0.0,0.0,0.0,0.0,212.0,240.0,72.0,524.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.5
116,2009,77.0,245.0,32.5013698630137,5.0,23,2007,7,243,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.99
117,2011,72.0,208.0,29.22739726027397,5.0,25,2011,6,192,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.9
118,2002,69.0,203.0,41.62465753424657,3.0,17,2002,0,0,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.833333
119,2008,76.0,217.0,31.649315068493152,5.0,25,2008,1,3,92.5,4.0,92.3,61.4,60.0,60.0,60.0,60.0,60.0,60.0,87.3,755.0,0.0,0.0,23.0,405.0,0.0,0.0,0.0,1183.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.75
121,2010,75.0,232.0,28.767123287671232,4.0,32,2010,5,133,77.5,26.0,60.0,60.0,60.0,60.0,60.0,54.0,74.5,77.1,41.3,0.0,0.0,0.0,0.0,0.0,419.0,16.0,691.0,1126.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.000502
139,2005,74.0,225.0,33.106849315068494,5.0,23,2005,1,24,93.8,3.0,91.8,81.8,60.0,60.0,60.0,60.0,60.0,60.0,66.6,731.0,0.0,0.0,49.0,430.0,0.0,0.0,0.0,1210.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.0
141,2009,75.0,255.0,30.65753424657534,5.0,23,2009,1,26,89.3,3.0,60.0,60.0,60.0,60.0,60.0,86.6,84.8,69.2,34.4,0.0,0.0,0.0,0.0,0.0,359.0,438.0,80.0,877.0,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.2
144,2012,74.0,308.0,26.698630136986303,3.0,23,2012,2,51,50.1,41.70265780730897,60.0,60.0,60.0,60.0,60.0,52.4,60.4,60.2,62.9,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,14.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.678333
145,2011,70.0,192.0,26.38082191780822,4.0,23,2011,2,64,88.5,4.0,60.0,56.6,88.4,60.0,75.2,60.0,60.0,60.0,83.4,0.0,690.0,0.0,14.0,372.0,0.0,0.0,0.0,1076.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
151,2007,77.0,250.0,31.832876712328765,3.0,21,2007,1,31,87.3,2.0,60.0,60.0,83.4,66.4,69.5,60.0,60.0,60.0,36.0,0.0,634.0,83.0,0.0,526.0,0.0,0.0,0.0,1243.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.5
157,2010,78.0,265.0,27.654794520547945,6.0,2,2010,2,42,97.4,1.0,60.0,60.0,89.0,54.8,86.3,60.0,60.0,60.0,54.9,0.0,676.0,81.0,1.0,531.0,0.0,0.0,0.0,1289.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
160,2011,70.0,205.0,27.687671232876713,3.0,2,2011,2,56,67.7,28.0,60.0,59.3,81.8,72.4,60.0,60.0,60.0,60.0,85.3,0.0,513.0,68.0,104.0,45.0,0.0,0.0,0.0,730.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.116667
161,2006,73.0,215.0,32.95068493150685,4.0,2,2006,4,118,65.49292828685259,41.70265780730897,61.405035971223015,61.46359550561798,62.24362850971923,62.269617706237426,63.79571694599627,62.00502431118314,61.33241491085899,62.97601296596434,61.756075697211145,16.29980079681275,61.0,74.22011952191235,7.330677290836653,93.32470119521912,89.22011952191235,57.876494023904385,81.63545816733068,480.9073705179283,11.358565737051793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4.3
