,player_id_otc,Team,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,contract_type,Accrued,height,weight,DOB,college,original_team_id,draft_year,draft_round,draft_pick,Notes,nfl_player_id,Name,season,player_id_pff,player,pos,overall,overall_rk,pass,run,receiving,passblock,runblock,passrush,rundefense,coverage,discipline,pass_snaps,receiving_snaps,passblock_snaps,run_snaps,runblock_snaps,rundefense_snaps,passrush_snaps,coverage_snaps,total_snaps,games
10,2578,Falcons,25,43DT,Defense,1,,2016,2016,1215000,607500,0,0,0.0%,0,0,0,0,0,0,0,0,2018R,Active,SFA,2015,6-1,300.0,1988-10-30 00:00:00,Maryland,2,2013,0,0,,0,Joe Vellano,2014.0,8264.0,Joe Vellano,DI,40.6,\N,60,60,60,60,60,58,39.7,60,73.3,0.0,0.0,0.0,0.0,0.0,51.0,47.0,0.0,98.0,6.0
11,121,Titans,12,WR,Offense,2,42809.0,2017,2017,2600000,1300000,275000,137500,10.6%,275000,0,0,0,275000,175000,0,0,2019,Active,UFA,2007,5-9,195.0,1985-07-04 00:00:00,Bethune-Cookman,25,2007,0,0,"Eric Weems signed a two year, $2.28 million contract wth the Falcons on March 11, 2015. Weem received a $425,000 signing bonus.",2507029,Eric Weems,2015.0,4097.0,Eric Weems,WR,62.9,\N,\N,60,62.4,\N,63.1,\N,\N,\N,62.1,0.0,7.0,0.0,0.0,28.0,0.0,0.0,0.0,35.0,9.0
12,2666,Cardinals,29,CB,Defense,1,42864.0,2017,2017,615000,615000,0,0,0.0%,0,0,0,0,0,0,0,0,2018,Active,SFA,2014,6-0,188.0,1990-05-28 00:00:00,Catawba,1,2013,0,0,,2541635,Jumal Rolle,2015.0,8105.0,Jumal Rolle,CB,56.5,\N,\N,\N,\N,\N,\N,60,47.6,57.5,64.5,0.0,0.0,0.0,0.0,0.0,37.0,0.0,27.0,64.0,5.0
13,157,Bengals,7,RT,Offense,1,42810.0,2017,2017,3250000,3250000,1550000,1550000,47.8%,1550000,0,1550000,0,0,250000,200000,1200000,2018,Active,UFA,2009,6-4,335.0,1987-01-25 00:00:00,Alabama,7,2009,1,6,"Andre Smith signed a one year, $3.5 million contract with the Vikings. Smith recieved $1 million in guarantees including a $500,000 signing bonus.. Smith has per game roster bonuses that total $250,000. Another $1 million in incentives are available.",71465,Andre Smith,2013.0,6571.0,Andre Smith,WR,60.8,\N,60,60,58.9,60,63,60,60,60,62.2,0.0,4.0,2.0,0.0,9.0,0.0,0.0,0.0,15.0,5.0
14,159,Rams,30,LT,Offense,3,42803.0,2017,2017,33750000,11250000,15000000,5000000,44.4%,15000000,0,5000000,0,3000000,0,0,2250000,2020,Active,UFA,2006,6-7,335.0,1981-12-12 00:00:00,LSU,7,2006,2,55,Andrew Whitworth signed a $33.75 million contract with the Rams. Whitworth received $15 million in guaranteed salary including a $5 million signing bonus.,2495977,Andrew Whitworth,2015.0,3000.0,Andrew Whitworth,T,89.2,4,\N,\N,\N,87.1,87,\N,\N,\N,70.6,0.0,0.0,652.0,0.0,472.0,0.0,0.0,0.0,1124.0,17.0
15,160,Bengals,7,QB,Offense,6,,2014,2015,96000000,16000000,17000000,2833333,17.7%,17000000,0,12000000,0,9100000,0,1200000,18000000,2021,Active,Extension,2011,6-2,220.0,1987-10-29 00:00:00,TCU,7,2011,2,35,"QB Andy Dalton signed a six year, $96 million contract extension with the Cincinati Bengals on August 4, 2014. <a href=\""http://profootballtalk.nbcsports.com/2014/08/04/dalton-gets-17-million-now-22-million-through-early-march/\"" target=\""_blank\"">All details of the contract extension currently come from Pro Football Talk. </a>Dalton received a $12 million signing bonus and a $5 million roster bonus upon signing the contract, to bring the total guarantee on the contract up to $17 million. On the third day of the 2015 League Year, Dalton will receive a $4 million roster bonus. Dalton will be eligible for $200,000 in annual workout bonuses as well as potential escalators that can increase the total value of the contract to $115 million. The escalators will be triggered by various levels of playoff success.",2495143,Andy Dalton,2013.0,6187.0,Andy Dalton,QB,81.0,18,80.6,67.2,60,60,60,60,60,60,66.9,698.0,0.0,0.0,46.0,457.0,0.0,0.0,0.0,1201.0,17.0
16,2702,Lions,22,WR,Offense,2,,2016,2016,1140000,570000,0,0,0.0%,0,0,0,0,0,0,0,0,2018E,Active,SFA,2013,6-1,200.0,1991-02-15 00:00:00,Lehigh,4,2013,0,0,,0,Ryan Spadola,2013.0,8236.0,Ryan Spadola,WR,54.7,\N,60,60,54.5,60,61.6,60,60,60,64.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,26.0,3.0
17,188,Lions,22,RT,Offense,5,42805.0,2017,2017,47500000,9500000,17500000,3500000,36.8%,29500000,3000000,14500000,0,0,0,0,0,2022,Active,UFA,2013,6-6,310.0,1989-10-21 00:00:00,Wisconsin,5,2013,5,168,"Ricky Wagner signed a five year, $47.5 million contract with the Lions on March 10, 2017. Wagner\'s contract contains $17.5 million in full guarantees and $29.5 million in total guarantees. Wagner received a signing bonus worth $14.5 million.",2539340,Ricky Wagner,2015.0,7950.0,Ricky Wagner,T,45.8,52,\N,\N,\N,70.1,37.8,\N,\N,\N,83.2,0.0,0.0,742.0,0.0,407.0,0.0,0.0,0.0,1149.0,16.0
18,189,Browns,6,RG,Offense,5,42806.0,2017,2017,60000000,12000000,23000000,4600000,38.3%,31500000,8500000,12000000,0,0,0,0,0,2022,Active,UFA,2012,6-4,315.0,1990-03-08 00:00:00,Wisconsin,7,2012,1,27,"Kevin Zeitler signed a five year, $60 million contract with the Browns on March 11, 2017. Zeitler recieved $23 million guaranteed at signing including a $12 million signing bonus. The contract has $31.5 million in total guarantees, the balance of which will become fully guaranteed in 2018.",2532980,Kevin Zeitler,2015.0,7032.0,Kevin Zeitler,G,86.0,8,\N,\N,\N,88.3,82.6,\N,\N,\N,40.5,0.0,0.0,654.0,0.0,488.0,0.0,0.0,0.0,1142.0,17.0
19,194,Lions,22,WR,Offense,5,,2016,2016,40000000,8000000,13000000,2600000,32.5%,20000000,7000000,8000000,0,2000000,0,0,0,2021,Active,UFA,2012,6-2,195.0,1990-03-12 00:00:00,California,7,2012,5,166,"Marvin Jones signed a five year $40 million contract with the Detroit Lions on March 9, 2016. Jones\' contract contains $20 million in total guarantees of which $13 million is fully guaranteed. Jones received an $8 million signing bonus. If he is on the Lions roster on the 5th day of the 2017 league year he will earn another $7 million in fully guaranteed salary.",2532884,Marvin Jones,2015.0,7158.0,Marvin Jones,WR,78.0,32,\N,61.4,77.4,\N,73.7,\N,\N,\N,33.2,0.0,597.0,0.0,5.0,394.0,0.0,0.0,0.0,996.0,17.0
20,195,Falcons,25,WR,Offense,5,,2016,2016,32500000,6500000,14000000,2800000,43.1%,14000000,0,14000000,0,0,0,0,1250000,2021,Active,UFA,2012,6-2,210.0,1989-08-22 00:00:00,Rutgers,7,2012,3,83,"Mohamed Sanu signed a five year, $32.5 million contract with the Atlanta Falcons on March 10, 2016. Sanue received $14 million fully guaranteed including a $7 million signing bonus. Another $1.25 million in escalators is available.",2533040,Mohamed Sanu,2015.0,7084.0,Mohamed Sanu,WR,57.4,94,\N,63,53.2,\N,64.4,\N,\N,\N,81.8,0.0,479.0,2.0,10.0,230.0,0.0,0.0,0.0,721.0,17.0
21,197,Raiders,16,S,Defense,2,,2016,2016,8500000,4250000,4000000,2000000,47.1%,4000000,0,0,0,3250000,0,500000,3500000,2018,Active,UFA,2007,5-11,210.0,1983-09-21 00:00:00,Florida,11,2007,1,21,"Reggie Nelson signed a two year contract worth $8.5 million with the Oakland Raiders on April 6, 2016. $4 million is fully guaranteed. The guarantee is made up of his 2016 salary and a $2 million roster bonus paid in April. If Nelson is on the roster 3rd day of the 2017 League Year he will earn a $1.25 million roster bonus. In each year he can earn an additional $1.75 million in incentives.",2507167,Reggie Nelson,2015.0,3637.0,Reggie Nelson,S,81.5,18,\N,\N,\N,\N,\N,50.3,74.8,84.3,88.8,0.0,0.0,0.0,0.0,0.0,359.0,48.0,682.0,1089.0,17.0
22,215,Chargers,15,RT,Offense,2,,2016,2016,2900000,1450000,550000,275000,19.0%,550000,0,550000,0,0,0,50000,0,2018,Active,UFA,2011,6-6,330.0,1989-04-26 00:00:00,Clemson,1,2011,4,122,"Chris Hairston signed a two year, $2.9 million contract with the Chargers on March 24, 2016. Hairston received a $550,000 signing bonus.",2495157,Chris Hairston,2015.0,6274.0,Chris Hairston,T,41.9,63,\N,\N,\N,44.1,41.4,\N,\N,\N,37.9,0.0,0.0,516.0,0.0,295.0,0.0,0.0,0.0,811.0,16.0
23,222,Bills,1,LT,Offense,5,,2016,2016,60000000,12000000,26500000,5300000,44.2%,38000000,11500000,16000000,0,8000000,0,0,5000000,2021,Active,Franchise,2012,6-6,345.0,1989-09-18 00:00:00,Georgia,1,2012,2,41,"Cordy Glenn signed a five year, $60 million contract with the Bills on May 5, 2016. Glenn\'s contract contains $38 million in total guarantees, of which $26.5 million is fully guaranteed upon signing. Glenn received a $16 million signing bonus. There are $2 million in yearly roster bonuses which I am assuming are paid for being active on gameday.",2532849,Cordy Glenn,2015.0,7045.0,Cordy Glenn,T,85.2,10,\N,\N,\N,87.6,72.8,\N,\N,\N,92.0,0.0,0.0,596.0,0.0,483.0,0.0,0.0,0.0,1079.0,16.0
24,2035,Redskins,20,LS,Special,4,,2017,2017,4500000,1125000,610000,152500,13.6%,610000,0,610000,0,0,0,0,0,2021,Active,UFA,2010,6-0,251.0,1987-07-29 00:00:00,California,26,2009,0,0,,0,Nick Sundberg,,,,,,,,,,,,,,,,,,,,,,,,,
25,236,Jaguars,11,FB,Offense,2,42842.0,2017,2017,1480000,740000,0,0,0,0,0,0,0,0,0,0,0,2019,Active,SFA,2013,6-1,246.0,1990-09-10 00:00:00,Wake Forest,4,2013,7,215,"Tommy Bohanon signed a two year, $1.48M contract with the Jaguars on April 17, 2017. Please link back to and credit OTC if using OTC as the source of your information unless you can indicate another source.",2540225,Tommy Bohanon,2015.0,7997.0,Tommy Bohanon,FB,33.6,21,\N,60,59.5,44.7,34.4,\N,\N,\N,76.8,1.0,56.0,32.0,2.0,184.0,0.0,0.0,0.0,275.0,16.0
26,243,Raiders,16,TE,Offense,3,,2015,2015,9100000,3033333,3100000,1033333,34.1%,3100000,0,0,0,1600000,0,750000,0,2018,Active,UFA,2011,6-6,265.0,1987-11-21 00:00:00,Marshall,2,2011,5,159,,2495347,Lee Smith,2014.0,6311.0,Lee Smith,TE,68.1,29,60,60,57.6,68.5,77.2,60,60,60,41.6,0.0,86.0,36.0,0.0,220.0,0.0,0.0,0.0,342.0,14.0
27,248,Eagles,19,43OLB,Defense,2,,2016,2016,7000000,3500000,4500000,2250000,64.3%,4500000,0,1500000,0,0,0,0,500000,2018,Active,UFA,2012,6-2,241.0,1989-09-04 00:00:00,Florida State,1,2012,4,105,"Nigel BRadham signed a two year, $7 million contract with the Philadelphia Eagles. $4.5 million is fully guaranteed including a $1.5 million signing bonus. Another $500,000 is available as an escalator.",2532800,Nigel Bradham,2015.0,7105.0,Nigel Bradham,LB,39.2,81,\N,\N,\N,\N,\N,50.7,38.8,52.3,33.0,0.0,0.0,0.0,0.0,0.0,270.0,87.0,388.0,745.0,11.0
28,2563,Jets,4,WR,Offense,2,,2017,2017,1320000,660000,0,0,0.0%,0,0,0,0,0,0,0,0,2019,Active,SFA,2013,6-0,182.0,1990-03-30 00:00:00,Louisiana Tech,23,2013,0,0,,2541905,Myles White,2015.0,8243.0,Myles White,WR,53.8,\N,\N,60,54.1,\N,63.5,\N,\N,\N,43.4,0.0,113.0,0.0,0.0,59.0,0.0,0.0,0.0,172.0,12.0
29,8,Browns,6,QB,Offense,4,,2016,2016,72000000,18000000,37000000,9250000,51.4%,37000000,0,12000000,0,9000000,0,0,0,2020,Active,UFA,2012,6-8,240.0,1990-11-22 00:00:00,Arizona State,13,2012,2,57,"Brock Osweiler signed a four year contract with the Houston Texans worth $72 million on March 9, 2016. Osweiler received $37 million in fully guranteed salary including a $12 million signing bonus. Osweiler was traded to the Browns on March 9, 2017.  We do not know at this time if the Texans agreed to pay a portion of his guaranteed salary and will update if we find out they did.",2533436,Brock Osweiler,2015.0,7059.0,Brock Osweiler,QB,75.5,22,74.8,67.2,\N,\N,\N,\N,\N,\N,77.7,313.0,0.0,0.0,18.0,187.0,0.0,0.0,0.0,518.0,8.0
30,13,Bears,21,ILB,Defense,4,,2016,2016,28000000,7000000,13500000,3375000,48.2%,15500000,2000000,5000000,0,7500000,0,400000,0,2020,Active,UFA,2012,6-1,240.0,1990-03-24 00:00:00,Kentucky,13,2012,6,188,"Danny Trevathan signed a four year, $28 million contract with the Chicago Bears on March 9, 2016. Trevathan received $13.5  million guaranteed upon signing including a $5 million signing bonus.",2532961,Danny Trevathan,2015.0,7177.0,Danny Trevathan,LB,85.6,10,\N,\N,\N,\N,\N,62.2,81.6,81.3,62.5,0.0,0.0,0.0,0.0,0.0,396.0,51.0,462.0,909.0,18.0
31,18,Cardinals,29,QB,Offense,2,,2016,2016,6500000,3250000,4500000,2250000,69.2%,4500000,0,2000000,0,0,1000000,0,8700000,2018,Active,UFA,2007,6-3,243.0,1984-05-07 00:00:00,Michigan State,22,2007,2,43,"Drew Stanton signed a two yer, $6.5 million contract with the Arizona Cardinals on March 9, 2016. Stanton received $4.5 million in guarantees including a $2 million signing bonus. Stanton can earn up to $8.7 million in incentives.",2495748,Drew Stanton,2015.0,3659.0,Drew Stanton,QB,64.7,\N,64.4,60,\N,\N,\N,\N,\N,\N,65.0,29.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,53.0,7.0
32,26,Dolphins,3,TE,Offense,2,,2017,2017,12200000,6100000,3000000,1500000,24.6%,3000000,0,0,0,0,0,200000,0,2019,Active,Other,2011,6-5,250.0,1988-06-27 00:00:00,Portland State,13,2011,4,129,"Julius Thomas was traded to the Dolphins on March 9, 2017. He has agreed to a restructured contract and we will update his cap figures when we confirm those numbers.",2495353,Julius Thomas,2015.0,6281.0,Julius Thomas,TE,61.8,43,\N,\N,58.7,57.8,63.3,\N,\N,\N,85.8,0.0,398.0,18.0,0.0,135.0,0.0,0.0,0.0,551.0,12.0
33,33,Panthers,26,S,Defense,2,42806.0,2017,2017,4200000,2100000,1150000,575000,27.4%,1150000,0,650000,0,150000,700000,200000,800000,2019,Active,UFA,2004,5-10,195.0,1981-03-24 00:00:00,Delaware,31,2004,0,0,"Mike Adams signed a two year $4.5 million contract with the Colts. $1.2 million in guaranteed. In 2016 he can earn $750,000 in gameday active roster bonuses. Adams can earn incentives based on playing time, interceptions, and pro bowl selections.",2505708,Mike Adams,2014.0,7643.0,Mike Adams,T,39.6,79,60,60,60,42.3,38,60,60,60,78.9,0.0,0.0,245.0,0.0,145.0,0.0,0.0,0.0,390.0,7.0
34,46,Broncos,13,TE,Offense,3,,2015,2015,8400000,2800000,2500000,833333,29.8%,4200000,1000000,1500000,0,700000,0,0,2850000,2018,Active,UFA,2011,6-5,255.0,1988-08-03 00:00:00,Nevada,13,2011,7,204,,2495288,Virgil Green,2014.0,6356.0,Virgil Green,TE,67.7,31,60,60,54.7,68.2,76.3,60,60,60,83.4,0.0,94.0,58.0,2.0,280.0,0.0,0.0,0.0,434.0,14.0
35,266,Falcons,25,C,Offense,5,,2016,2016,45000000,9000000,20000000,4000000,44.4%,28500000,8500000,11500000,0,0,0,0,0,2021,Active,UFA,2009,6-4,311.0,1985-11-19 00:00:00,California,6,2009,1,21,"Alex Mack signed a five year, $45 million contract with the Atlanta Falcons on March 9, 2016. Mack received $28.5 million in guarantees of which $20 million is fully guaranteed upon signing. Another $8.5 million is guaranteed for injury and becomes fully guaranteed if on the roster in 2017.",71375,Alex Mack,2015.0,4944.0,Alex Mack,C,79.5,13,\N,\N,\N,76.7,72.9,\N,\N,\N,29.0,0.0,0.0,756.0,0.0,379.0,0.0,0.0,0.0,1135.0,16.0
36,272,Saints,27,43OLB,Defense,3,,2016,2016,5000000,1666667,1965000,655000,39.3%,1965000,0,1200000,0,525000,0,130000,4500000,2019,Active,SFA,2012,6-1,234.0,1988-02-11 00:00:00,North Texas,6,2011,0,0,"LB Craig Robertson signed a one year $570,000 contract with the Cleveland Browns on April 7, 2014.",2532431,Craig Robertson,2015.0,7003.0,Craig Robertson,LB,73.2,38,\N,\N,\N,\N,\N,52.5,44.3,80.6,44.0,0.0,0.0,0.0,0.0,0.0,219.0,16.0,153.0,388.0,12.0
37,275,Chargers,15,RB,Offense,1,42815.0,2017,2017,815000,815000,75000,75000,9.2%,75000,0,75000,0,0,50000,0,0,2018,Active,SFA,2014,5-9,190.0,1989-04-28 00:00:00,Oregon,26,2013,6,182,"Kenjon Barner signed a one year contract with the Chargers on March 21, 2017. We are estimating that the contract is worth $815,000 and has $75,000 guaranteed along with $50,000 paid on a per game basis. These details are not confirmed at this time.",2539289,Kenjon Barner,2015.0,7963.0,Kenjon Barner,HB,49.9,\N,\N,53.3,39.8,70.2,\N,\N,\N,\N,65.7,0.0,41.0,5.0,28.0,9.0,0.0,0.0,0.0,83.0,6.0
38,2502,Panthers,26,WR,Offense,3,42806.0,2017,2017,10000000,3333333,2100000,700000,21.0%,2100000,0,2100000,0,0,1200000,450000,1500000,2020,Active,UFA,2013,6-0,195.0,1990-09-17 00:00:00,LSU,19,2013,0,0,"Russell Shepard signed a three year, $10 million contract with the Panthers. Shepard\'s contract has a $2.1 million signing bonus.",2541944,Russell Shepard,2015.0,8254.0,Russell Shepard,WR,52.9,\N,\N,60,52.2,\N,71.8,\N,\N,\N,46.7,0.0,113.0,0.0,0.0,96.0,0.0,0.0,0.0,209.0,13.0
39,285,Browns,6,LT,Offense,7,,2011,2012,80500000,11500000,10000000,1428571,12.4%,36000000,20500000,6000000,0,7000000,0,1400000,3500000,2019,Active,Extension,2007,6-6,312.0,1984-12-04 00:00:00,Wisconsin,6,2007,1,3,,2507162,Joe Thomas,2010.0,3619.0,Joe Thomas,T,87.2,8,60,60,60,87.3,81,60,60,60,87.5,0.0,1.0,549.0,0.0,425.0,0.0,0.0,0.0,975.0,16.0
40,286,Browns,6,RG,Offense,4,,2013,2014,8370000,2092500,1300000,325000,15.5%,1300000,0,0,0,3000000,0,0,6850000,2018,Active,Extension,2008,6-4,315.0,1985-03-24 00:00:00,Toledo,30,2008,3,65,,238,John Greco,2012.0,4379.0,John Greco,G,81.5,14,60,60,60,77,85.6,60,60,60,28.4,0.0,0.0,401.0,0.0,313.0,0.0,0.0,0.0,714.0,13.0
41,287,Lions,22,CB,Defense,2,,2016,2016,4500000,2250000,2900000,1450000,64.4%,2900000,0,2000000,0,0,0,100000,1500000,2018,Active,UFA,2012,6-0,200.0,1990-07-23 00:00:00,Stanford,6,2012,0,0,"Johnson Bademosi signed a two year, $4.5 million contract with the Deroit Lions on March 10, 2016. Bademosi received a $2 million signing bonus.",2535693,Johnson Bademosi,2015.0,7374.0,Johnson Bademosi,CB,42.0,\N,\N,\N,\N,\N,\N,57.8,67.6,41.8,68.5,0.0,0.0,0.0,0.0,0.0,68.0,3.0,104.0,175.0,10.0
42,296,Chiefs,14,RT,Offense,5,,2016,2016,33000000,6600000,12660000,2532000,38.4%,15000000,2340000,7000000,0,0,2200000,440000,0,2021,Active,UFA,2012,6-5,320.0,1989-06-08 00:00:00,California,6,2012,2,37,"Mitchell Schwartz signed  5 year, $33 million contract with the Chiefs on March 9, 2016. Schwartz received $15 million in guarantees of which $12.66 million is fully guaranteed upon signing. Schwartz received a $7 million signing bonus and is eligibly for yerly per game roster bonuses.",2532945,Mitchell Schwartz,2015.0,7041.0,Mitchell Schwartz,T,86.6,7,\N,\N,\N,87.9,78.2,\N,\N,\N,83.0,0.0,0.0,756.0,0.0,379.0,0.0,0.0,0.0,1135.0,16.0
43,300,Redskins,20,34DT,Defense,1,,2017,2017,775000,775000,0,0,0.0%,0,0,0,0,25000,0,0,100000,2018,Active,SFA,2012,6-3,335.0,1988-04-07 00:00:00,Baylor,6,2011,1,21,,2508106,Phillip Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
